Team Name,Goalspg,Shotspg,yellowcardpg,redcardpg,Posseion%,PassAcc,AerialsWonpg,Shotedpg,Tacklespg,Interceptionpg,Foulspg,Offsidepg,ShotsOTpg,Dribblespg,Fouledpg,Rank
Tottenham,1.763157895,14.1,1.473684211,0.0789473684,56.7,83.2,16.1,12.1,16.5,8.6,9.9,1.9,5,9.7,9.6,4
Arsenal,1.921052632,12.3,1.894736842,0.0526315789,56.1,83.3,14.9,13.1,16,10.8,10.8,2.3,4.5,8,12,5
Leicester,1.342105263,13.6,1.5,0.131578947,50.8,79.2,21.5,11.2,17.8,11.5,9.2,1.9,4.8,10.3,9.9,9
Crystal Palace,1.342105263,13,1.526315789,0.0526315789,46.6,76.8,18.1,13.8,19.3,11.7,10.2,2.1,3.9,9.9,10.3,12
West Ham,1.368421053,11.6,1.552631579,0.0263157895,49,78.7,16.9,13.9,19,12,8.7,1.9,4.1,10.2,10.2,10
Everton,1.421052632,13.1,1.447368421,0.105263158,51,77.3,23.5,10.6,18.4,11.9,11.4,1.8,4.4,8.7,11,8
Wolverhampton Wanderers,1.236842105,12.6,1.894736842,0.0263157895,47.4,78.2,21.6,12.2,18.9,13.2,10.8,1.9,4,8.7,8.6,7
Newcastle United,1.105263158,11.7,1.5,0.0526315789,42.9,72.9,21.2,12.9,18.8,13.3,11.1,1.6,3.7,6.2,8.7,13
Manchester United,1.710526316,13.8,1.921052632,0.105263158,53.3,82.3,18.3,13.1,15.3,9.3,11.4,2.4,5.9,8.4,10.4,6
Burnley,1.184210526,9.5,1.973684211,0.0263157895,43.4,70.3,27.6,17.2,15.4,9.7,9.5,2.8,3.1,5.4,9.4,15
Southampton,1.184210526,12.7,1.868421053,0.0789473684,45.4,74,20.4,13.7,18.4,14.4,11.1,1.6,4.3,7.6,9,16
Watford,1.368421053,11.5,2.026315789,0.105263158,47.4,76.1,20.3,12.9,17.3,11.3,11.4,2.3,4,7.7,10.1,11
Bournemouth,1.473684211,11.7,1.578947368,0.0263157895,47.7,78.1,18.8,13.7,13.8,9.8,8.9,1.5,4.3,7.7,11.6,14
Cardiff,0.894736842,11,1.736842105,0.0263157895,39.1,63.9,25.8,15,17.2,13.9,9.8,2,3.3,6.8,10.3,18
Brighton,0.921052632,9.8,1.578947368,0.105263158,44.1,74.8,22,15.3,17.9,12.2,12.2,2.4,2.8,7.1,7.9,17
Fulham,0.894736842,11.9,1.789473684,0.0526315789,49.2,80.3,19.7,15.4,15.7,11.3,11.1,2.4,3.8,9.3,9,19
Huddersfield,0.578947368,10.6,1.447368421,0.105263158,47.1,75.8,22.6,13.7,18.6,14,11.1,1.7,3.1,6.1,9.7,20
Manchester City,2.789473684,17.5,1.552631579,0.0526315789,66.4,89,13.8,6.2,14.8,9.1,9.1,1.8,7,13.2,9.3,1
Liverpool,2.210526316,16.8,1.157894737,0.0263157895,58,83.8,15.7,7.4,16.8,10,9.1,1.8,6.1,11.6,8,4
Manchester United,1.789473684,13.5,1.684210526,0.0263157895,53.9,83.6,16.6,11.5,14.8,12.7,10.7,2.3,4.7,12.3,11.1,2
